product_id,product_name,product_description,category,subcategory,brand,price,rating_avg_clean,rating_source,rating_avg,calculated_rating_avg,review_count,total_reviews_actual,stock_quantity,date_added,total_views,total_clicks,total_add_to_cart,total_purchase_rows,total_orders,total_quantity_sold,total_revenue,avg_unit_price,avg_dwell_seconds,ctr_percent,add_to_cart_rate_percent,click_to_purchase_rate_percent,cart_to_purchase_rate_percent,revenue_per_view,revenue_per_click
8826d916-cdfb-41c6-81ff-91a761565a70,The Elite Cipher - PlayStation 5 Edition,"Bring joy to playtime with the The Elite Cipher - PlayStation 5 Edition.

Key Features:
  - Easy to learn, with endless replay value.
  - Safe, non-toxic materials certified for children.
  - Encourages creative thinking and problem-solving skills.
  - STEM-focused learning through play.
  - Expandable with additional sets and accessories.

Winner of multiple toy awards.",Toys & Games,Video Games,Hasbro,12.93,,No rating available,,,0,0.0,16,2024-09-04,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,23.84,40.0,25.0,0.0,0.0,0.0,0.0
2416da6e-c212-4ddb-8d88-00160eb686b2,KitchenAid Ultra-Soft Bedding,"Designed to make your home more beautiful and functional.

Key Features:
  - Stackable design for efficient storage.
  - Built to withstand daily use with durable construction.
  - Easy to clean and maintain for everyday use.
  - Versatile design complements any decor style.
  - Crafted from premium {material} for lasting quality.

Whether you are redecorating or just looking for that perfect finishing touch, this piece fits beautifully.

Backed by our satisfaction guarantee.",Home & Kitchen,Bedding,KitchenAid,31.65,2.0,Original from products,2.0,2.0,1,1.0,12,2024-06-02,10.0,7.0,5.0,1.0,1.0,1.0,32.56,32.56,19.83,70.0,71.43,14.29,20.0,3.26,4.65
eb819333-b501-4c18-8c53-c786ed62c2f9,Mobil Premium Car Care,"The Mobil Premium Car Care delivers professional-grade results.

Key Features:
  - Quick-drying formula saves time.
  - Weather-resistant for year-round protection.
  - Compatible with all major vehicle makes and models.
  - UV-resistant formula prevents fading and cracking.
  - Professional-grade formula for superior results.
  - Long-lasting protection against the elements.

Additional Details:
  - Temperature range: {temp_range}
  - Application: {app_method}
  - Volume: {volume_ml}ml

Your vehicle deserves the best care.",Automotive,Car Care,Mobil,42.34,1.0,Original from products,1.0,1.0,1,1.0,1,2024-03-26,20.0,9.0,7.0,2.0,2.0,2.0,87.36,43.68,19.6,45.0,77.78,22.22,28.57,4.37,9.71
71445abc-2f0d-4ac2-8097-acb7a3823bc9,Wilson Cycling - Navy,"Engineered for peak performance in any condition.

Key Features:
  - Lightweight design for effortless portability.
  - Adjustable features for customized fit.
  - Reinforced stress points for long-lasting durability.
  - Ergonomic design reduces fatigue during extended use.
  - Compression-molded for compact storage.

Trusted by athletes and adventurers worldwide.",Sports & Outdoors,Cycling,Wilson,37.73,4.5,Original from products,4.5,4.5,2,2.0,1,2023-06-19,12.0,3.0,4.0,3.0,3.0,3.0,109.5,36.5,19.15,25.0,133.33,100.0,75.0,9.12,36.5
13d16283-160e-4c20-aebd-f9d6297e4c73,Samsung Prime Prime15,"Experience cutting-edge technology with the Samsung Prime Prime15.

Key Features:
  - Supports high-resolution audio for immersive sound.
  - Enhanced security features including biometric authentication.
  - Intuitive user interface with customizable settings.
  - Advanced cooling system for sustained performance.
  - Features a high-resolution display with vivid color accuracy.
  - Long-lasting battery designed for all-day productivity.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Perfect for professionals and enthusiasts alike.",Electronics,Smartphones,Samsung,123.44,3.5,Original from products,3.5,3.5,2,2.0,2,2023-03-07,76.0,32.0,19.0,2.0,2.0,2.0,254.31,127.155,17.08,42.11,59.38,6.25,10.53,3.35,7.95
29101780-8b9e-4c5e-af92-bb2e667840ed,Nestle Certified Organic Organic Food,"Savor the rich flavors of the Nestle Certified Organic Organic Food.

Key Features:
  - Perfect for gifting or everyday indulgence.
  - Versatile ingredient for countless recipes.
  - No artificial preservatives or additives.
  - Rich, authentic flavor profile.
  - Expertly crafted using traditional methods.

A taste worth savoring.",Grocery & Gourmet,Organic Foods,Nestle,9.98,5.0,Original from products,5.0,5.0,2,2.0,1,2025-11-05,19.0,15.0,7.0,2.0,2.0,4.0,38.019999999999996,9.504999999999999,20.01,78.95,46.67,13.33,28.57,2.0,2.53
06ce14c8-3158-44a4-b6a0-04674d81a0d2,Introduction to Deep Learning,"Discover the story behind Introduction to Deep Learning.

Key Features:
  - Comprehensive coverage of the subject matter.
  - Meticulously researched and expertly presented.
  - Thought-provoking themes that resonate long after reading.
  - Includes exclusive content and illustrations.
  - Award-winning author delivers another masterpiece.

Perfect for bedtime reading, book clubs, or casual enjoyment, this book offers something for everyone.

Additional Details:
  - Available in multiple formats for your reading preference.
  - A substantial read that delivers incredible value.
  - Critically acclaimed with outstanding reader reviews.

Already a bestseller in multiple countries.",Books,Educational,HarperCollins,11.76,,No rating available,,,0,0.0,1,2023-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
233ea18b-ca97-4371-ba51-51731e512c3a,Apple Prime Prime5,"Experience cutting-edge technology with the Apple Prime Prime5.

Key Features:
  - Advanced connectivity options including WiFi 6 and Bluetooth 5.3.
  - Intuitive user interface with customizable settings.
  - Advanced cooling system for sustained performance.
  - Equipped with the latest processor for seamless multitasking.
  - Premium build quality with aerospace-grade materials.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Order today and experience the difference.",Electronics,Smartphones,Apple,175.72,,No rating available,,,0,0.0,2,2025-10-20,48.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,14.48,45.83,45.45,0.0,0.0,0.0,0.0
22389617-c344-498d-afbf-4ce3e3535610,Apple X15 Smartphone,"The Apple X15 Smartphone delivers exceptional performance for all your needs.

Key Features:
  - Advanced connectivity options including WiFi 6 and Bluetooth 5.3.
  - Intuitive user interface with customizable settings.
  - Premium build quality with aerospace-grade materials.
  - Enhanced security features including biometric authentication.
  - Sleek, lightweight design for maximum portability.
  - Features a high-resolution display with vivid color accuracy.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Additional Details:
  - Slim and portable form factor for easy travel.
  - Long battery life for all-day usage.
  - Connectivity: USB-C, HDMI, WiFi 6, Bluetooth.

Backed by a comprehensive warranty and dedicated support.",Electronics,Smartphones,Apple,457.39,,No rating available,,,0,0.0,1,2023-11-05,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.36,33.33,0.0,0.0,,0.0,0.0
6efab8db-f0a2-4fd3-acb9-d94610c2b4a1,Spalding Z15 Cycling,"Engineered for peak performance in any condition.

Key Features:
  - Reflective elements enhance visibility in low light.
  - Ergonomic design reduces fatigue during extended use.
  - Lightweight design for effortless portability.
  - Weather-resistant materials keep you protected.
  - Durable construction withstands the toughest conditions.

Additional Details:
  - Weight: {weight_g}g
  - Material: {material_quality} {material}
  - Capacity: {capacity_l}L

Trusted by athletes and adventurers worldwide.",Sports & Outdoors,Cycling,Spalding,49.61,5.0,Original from products,5.0,5.0,1,1.0,1248,2025-05-16,11.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,19.39,63.64,28.57,0.0,0.0,0.0,0.0
